poly_degree,sigma,l,sigma_obs,multiplier,logLike
5.000000000000000000e+00,1.488756015999999960e+00,6.427185757000000166e-01,2.092047476999999933e+00,5.363780838999999689e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.150215953000000013e+00,5.742632075000000391e-01,3.314737206999999741e-01,5.496216588000000236e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.069676434000000009e+00,2.698158649999999881e-01,4.935045406999999607e+00,5.171378612999999458e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.042472445000000025e+00,8.723760174000000367e-01,7.898215002999999790e+00,1.726567811000000008e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.587808957000000021e+00,8.320620453000000527e-01,5.267802267000000427e+00,2.639176192999999948e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.456394991999999888e+00,5.742582036000000167e-01,5.035147748999999617e-01,7.726505579000000346e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.481790506999999923e+00,8.785840683000000206e-01,8.407734745000000842e+00,1.167124370000000022e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.032597889999999907e+00,4.195950162000000039e-01,3.676720421999999822e+00,4.121991611000000333e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.000700267000000032e+00,8.401796095000000353e-01,1.164200519000000078e+01,7.048983616000000119e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.298250039000000022e+00,4.922999626999999823e-01,5.954140362000000408e+00,6.068453904999999704e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.614024827000000162e+00,3.175077856999999892e-01,1.111007466999999949e+01,3.223426282000000143e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.193862710999999965e+00,3.125110024000000153e-01,1.258589760999999996e+01,6.533056935000000065e-01,-0.000000000000000000e+00
5.000000000000000000e+00,4.357380872000000238e+00,5.253647847000000315e-01,2.303022772999999912e+00,7.425935908999999668e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.651791278999999779e+00,6.230711683999999861e-01,7.687449973999999742e+00,2.577167785999999960e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.010205725999999915e+00,3.913526076000000131e-01,6.511371302999999777e+00,8.509829076999999575e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.729883625999999897e+00,2.359295016999999883e-01,4.735572324999999694e+00,7.145809526999999939e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.064384814999999929e+00,4.114181908999999804e-01,1.021193805000000010e+00,2.284485001999999820e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.640612393000000058e+00,1.419176051000000105e-01,4.890320664000000206e-01,4.044673980999999863e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.324508934999999887e+00,3.216490215000000208e-01,4.652062335000000104e+00,8.338873540000000251e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.978183535000000104e+00,8.735307210999999628e-01,2.728388879999999794e+00,7.803334259999999745e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.100239018999999985e+00,6.957330862999999699e-01,2.265910761999999856e+00,5.883426405999999886e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.811305707999999903e+00,4.914003730000000014e-01,6.924061285999999704e+00,9.141828924000000356e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.372482645000000057e+00,8.495780496999999487e-01,2.940736145999999884e+00,8.803133034000000245e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.432106689999999904e+00,5.300486985000000262e-01,9.711881620999999853e+00,3.411046482000000268e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.554616558999999842e+00,1.050987387999999939e-01,3.993087961000000075e+00,1.901714788000000045e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.005248637000000000e+00,3.326088531999999987e-01,1.764579099000000095e+00,4.396447890000000136e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.043095253000000167e+00,4.369337160999999803e-01,7.296937511000000320e+00,1.116684511999999962e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.920066815999999843e+00,3.434166775999999976e-01,1.953973781999999915e+01,4.513923100000000188e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.512429648999999987e+00,8.975394724999999907e-01,1.929110002999999907e+01,3.255802489999999882e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.845672500000000049e+00,3.397204245000000067e-01,1.691090013000000170e+01,9.844482698000000198e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.573477392999999891e+00,3.392415520000000018e-01,7.828728053999999936e+00,1.267116013999999957e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.209179886000000037e+00,2.509138412999999956e-01,5.884657327000000215e-01,4.968281994999999895e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.724458635000000406e+00,1.115834361000000025e-01,3.972161750000000158e+00,6.912011489000000175e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.374355350999999947e+00,2.396313804000000103e-01,1.501303066000000008e+01,4.977979049999999850e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.108198149000000132e+00,3.617970770000000225e-01,4.161464375000000437e+00,1.861543573000000062e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.226054890999999980e+00,7.292834656000000138e-01,7.365687344000000358e-01,9.746748228999999597e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.132485373999999823e+00,2.772249103000000159e-01,7.498424597999999719e+00,3.839693695999999989e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.209733294999999931e+00,2.099653407000000027e-01,1.702273230000000082e+00,5.616817786999999562e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.012821585999999829e+00,2.487655596999999996e-01,3.742114717999999840e+00,6.227333530999999978e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.010165763000000050e+00,3.218375250000000132e-01,6.123806082999999845e+00,3.870931851000000146e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.675575543999999972e+00,2.501072028999999919e-01,1.799801147999999884e+01,1.238483728000000061e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.089963582000000208e+00,2.114566146999999896e-01,7.754627053999999520e-01,5.673663613999999633e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.800792270000000084e+00,5.034325378999999767e-01,1.432026029999999928e+01,2.458016600000000107e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.283794303000000081e+00,7.229379081000000262e-01,9.715741017000000257e-01,6.768332011000000037e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.271456469999999950e+00,5.460368845999999943e-01,1.450239883000000063e+01,9.560633139999999974e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.816046248999999779e+00,2.010048510999999927e-01,8.758388361999999816e+00,6.644310157999999689e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.271856333999999977e+00,3.085194800000000126e-01,3.344834537000000108e+00,4.142883659999999857e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.219956959000000118e+00,1.051782817000000009e-01,8.839874185999999634e-01,7.206890740999999601e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.646745397000000111e+00,3.377145342999999800e-01,7.482127915000000407e+00,9.266069522000000003e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.397899070000000021e+00,4.659349306000000190e-01,1.176762819999999987e+00,3.527971598000000153e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.529070300999999965e+00,7.235956962999999798e-01,1.135847157000000074e+01,8.035830374000000331e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.459246164000000068e+00,6.232494618999999680e-01,1.887873629999999991e+01,3.449243473000000115e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.640976471000000103e+00,5.189759152999999792e-01,9.669492675000000759e+00,7.095438333000000375e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.190468580000000109e+00,7.680974602000000262e-01,1.348711535000000072e+00,3.406313985000000155e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.282954523999999985e+00,8.107262725999999642e-01,6.240635166000000345e-01,3.745373934999999932e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.824611905999999895e+00,5.145604555999999663e-01,1.797819687000000144e+01,3.697017966000000211e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.100645977000000109e+00,8.131204276000000286e-01,1.471464414999999981e+01,3.445162063000000163e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.836344353000000096e+00,8.029990556999999640e-01,1.195614727000000066e+01,2.176483874000000096e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.320267131999999899e+00,1.077790155000000055e-01,2.587715041000000049e+00,4.027001012000000379e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.238832093000000079e+00,7.178759438999999798e-01,1.486974655000000034e+01,8.603308110999999814e-01,-0.000000000000000000e+00
5.000000000000000000e+00,4.334222536999999598e+00,7.168653471000000499e-01,1.952644830999999925e+01,9.891194935999999549e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.972370337000000085e+00,5.620175931999999985e-01,9.891559842999999574e+00,3.931924430000000026e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.747013656000000026e+00,6.637955543000000347e-01,8.813802336000000182e+00,3.289863727000000182e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.831109834999999908e+00,8.626838179000000384e-01,6.555534895000000084e+00,2.455352591000000029e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.973526289999999905e+00,2.044273289999999910e-01,5.134575275000000438e+00,1.138150932000000060e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.835709835999999928e+00,4.203505492999999871e-01,3.791556479000000035e+00,1.321983123000000093e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.854382466999999979e+00,8.805849523000000012e-01,6.066086658999999770e+00,9.184148871999999741e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.450242684000000004e+00,1.798742771000000074e-01,2.840712219999999899e+00,1.042730002999999961e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.753200926999999965e+00,7.271892348999999811e-01,1.590774700999999958e+01,5.602035991000000159e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.112693675000000049e+00,3.855063288999999727e-01,1.411507462999999962e+00,4.716515255000000018e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.803742779000000018e+00,2.439102951000000075e-01,2.895652516000000176e+00,1.272097480000000003e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.857330487000000030e+00,4.265670836000000077e-01,1.485989698000000026e+01,6.820506234999999862e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.485186509000000044e+00,6.607338107000000349e-01,1.457403943999999996e+01,3.319598201999999776e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.120568717999999908e+00,7.902238780000000462e-01,3.842837685000000114e+00,2.930814578000000115e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.490962118000000114e+00,8.406212761000000366e-01,7.671795053000000086e-01,6.229329412000000232e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.552223719999999973e+00,2.291260685000000019e-01,1.475454427999999929e+01,7.561878955000000069e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.527435000000000098e+00,4.700102762999999739e-01,1.839939562000000084e+00,6.690893292000000159e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.493275957000000043e+00,7.163664778999999649e-01,7.246269741999999958e-01,3.411291047000000187e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.880090723999999991e+00,3.230956499000000037e-01,1.588296826000000106e+00,7.717759361999999790e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.504073960000000376e+00,1.595088976000000047e-01,8.428473971000000065e-01,6.729554902000000283e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.131762742999999904e+00,4.761150795999999907e-01,6.226325272999999605e+00,2.335236762000000077e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.784669732999999869e+00,5.743211322000000285e-01,1.673990413000000066e+00,6.979300077999999630e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.995549140999999915e+00,2.005803160000000085e-01,1.515422436999999967e+01,3.025346053999999896e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.793270327999999969e+00,4.994251692000000187e-01,1.197940251999999983e+00,4.335454272999999858e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.004106420999999916e+00,4.291970351000000128e-01,2.941769707999999817e+00,2.193536943999999878e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.665224427999999923e+00,5.965525765000000424e-01,5.627347784000000352e+00,3.651384773999999944e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.900898100000000035e+00,2.550288862999999795e-01,8.097300069999999295e+00,9.017330693999999758e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.222146527000000038e+00,3.573033811999999920e-01,3.489874662000000072e+00,5.024339259999999641e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.319262120999999954e+00,7.513376632999999583e-01,1.201476367999999972e+01,2.495088898000000110e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.061203739000000201e+00,5.096915565999999842e-01,1.538438390999999905e+00,2.948128312999999778e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.495433880000000215e+00,2.635481598000000147e-01,6.722226972999999717e+00,6.126101710000000367e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.055280285999999901e+00,2.072870944999999909e-01,2.565556405000000151e+00,2.961325094000000213e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.027813759000000049e+00,8.044871483000000101e-01,9.103973500000000385e+00,5.924767371000000393e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.359440988000000017e+00,1.562232642999999976e-01,3.274214081999999859e-01,1.956569049999999921e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.782155609999999779e+00,6.976573203999999473e-01,7.534733074999999669e-01,6.665089312000000099e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.133926656999999949e+00,6.894363481999999932e-01,1.283488409000000052e+00,1.736919247000000111e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.909887200000000007e+00,3.231210326999999771e-01,1.612887938000000076e+01,6.992973698000000127e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.331519475999999980e+00,7.590404239000000386e-01,1.802767642999999964e+01,5.014560711000000115e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.546717770000000103e+00,4.997116862000000048e-01,2.311499957000000105e+00,2.024565049000000005e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.536000655999999909e+00,4.051121270999999968e-01,4.595586355000000012e+00,1.030066790000000010e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.998877070999999894e+00,2.204300449000000106e-01,8.158624660999999278e+00,5.119171703000000129e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.225211074999999816e+00,3.482836811999999727e-01,5.583136523000000295e+00,6.224747014000000078e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.284479785999999901e+00,4.267065950999999746e-01,1.480210096999999969e+01,1.684775504000000090e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.111279924999999835e+00,7.462387405000000529e-01,5.800835518999999607e+00,2.691745252000000033e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.578330371999999926e+00,3.474553257999999922e-01,1.085610364000000061e+01,4.301165246000000053e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.363462608999999937e+00,4.807355345000000058e-01,1.093495401999999928e+01,1.655866422999999976e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.105295319999999970e+00,5.417222699999999502e-01,4.535806192999999986e+00,3.357456764000000149e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.106416434999999865e+00,2.121818729999999931e-01,6.166021388999999964e+00,1.009072315999999914e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.012819082000000037e+00,1.795267215999999943e-01,1.010720778000000042e+00,9.469634080000000509e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.288726027999999912e+00,4.050491916000000248e-01,1.740341520000000086e+00,1.720509918000000082e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.606958092000000171e+00,8.944780373999999812e-01,1.012061321999999919e+01,7.461432022999999747e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.035584044999999787e+00,7.292110594999999806e-01,1.315805166000000082e+00,2.861126985999999928e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.632073987999999920e+00,4.086544210999999982e-01,1.324345332999999947e+01,1.123666553999999929e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.193367031000000189e+00,2.149259185000000072e-01,2.997949016000000189e+00,4.835955520999999813e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.321714574999999670e+00,7.795265136000000261e-01,1.955709480999999883e+01,5.884358426000000364e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.050833094000000134e+00,4.770330982000000053e-01,1.699059245999999845e+01,5.880374578999999491e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.983547823999999959e+00,5.318768135000000452e-01,1.086477997000000073e+01,3.801668738000000269e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.077659650000000191e+00,3.815284179000000275e-01,7.300635276999999590e+00,1.907877019999999924e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.047779647999999897e+00,2.072021605000000100e-01,1.438204252000000061e+01,1.073883533000000057e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.506236016999999983e+00,2.559386589000000045e-01,9.214304608999999147e+00,2.275792614999999852e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.674831168000000092e+00,8.019199884000000056e-01,2.530383056999999880e+00,4.774293047000000012e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.366844501999999961e+00,6.672667311000000101e-01,2.816710296000000113e+00,2.051354207000000152e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.079035976999999979e+00,3.508723575000000094e-01,1.837149681999999951e+00,3.854709386999999876e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.588090331000000077e+00,5.691189192000000174e-01,2.851168400000000158e+00,4.540614769000000273e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.261795156999999890e+00,1.738998201999999993e-01,1.051025470000000084e+01,8.371341033000000209e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.891464884999999985e+00,6.162150924000000529e-01,1.658164760000000015e+01,2.328811922999999950e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.348823370999999938e+00,3.317187469000000277e-01,4.662890637000000060e-01,8.639040318999999357e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.961749817999999923e+00,5.018664731999999962e-01,5.839261138000000351e+00,1.107647016999999900e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.019001652000000036e+00,6.628779525000000339e-01,8.977507694999999899e+00,6.631105187000000400e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.093091852000000141e+00,8.313209971999999670e-01,4.989244471000000125e+00,4.161575430000000186e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.449172422999999821e+00,2.339875601999999999e-01,1.076908498000000103e+00,6.962967289999999920e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.761522593000000025e+00,1.814039970999999918e-01,5.697151371000000353e+00,5.868373530999999588e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.359855062999999920e+00,7.357256632999999990e-01,6.880446305000000429e+00,3.248190190999999949e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.030514753000000061e+00,2.335627167999999865e-01,1.838001140999999894e+00,2.519638624999999799e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.403049554999999948e+00,7.445495918000000213e-01,7.652959437999999892e+00,3.764063683999999910e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.254026623999999979e+00,8.876141972000000102e-01,7.138963297999999513e-01,2.225335391000000218e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.654536118000000000e+00,7.535471275999999774e-01,6.662547037000000394e+00,6.862205061999999689e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.280504091000000066e+00,5.265082518000000489e-01,8.625806443000000101e+00,9.762679821000000757e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.903108619000000168e+00,3.974037616000000162e-01,5.954699877999999558e+00,7.092687323999999904e-01,-0.000000000000000000e+00
5.000000000000000000e+00,4.577960615000000288e+00,5.267557281000000424e-01,6.030328430000000406e-01,7.445839465999999796e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.574286006999999987e+00,6.918175208000000298e-01,5.785068147999999688e+00,9.488817073999999963e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.069331167999999943e+00,7.785498740999999834e-01,1.466408206999999919e+01,1.162030442000000052e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.863747550000000031e+00,7.506508799000000121e-01,5.015225300000000219e-01,5.640163926999999688e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.345132344000000035e+00,5.827935899999999725e-01,8.235816202000000530e+00,7.093868791000000229e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.067808885000000041e+00,8.201678223999999684e-01,3.688818535000000232e-01,2.259226764000000109e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.054788236000000046e+00,1.178814507000000011e-01,7.516745169000000004e+00,4.421603961000000194e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.037017373000000076e+00,2.101861215999999977e-01,2.006263920999999950e+00,5.295988899000000139e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.981765098999999974e+00,5.308671251000000035e-01,1.610797120999999876e+01,5.869911577999999963e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.206264071000000104e+00,5.241433953999999895e-01,6.597922886000000542e-01,6.105073712000000263e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.036670435000000001e+00,7.054615762000000512e-01,8.066738896000000381e+00,9.080713965000000165e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.535973090000000152e+00,4.073526720999999795e-01,1.905384473999999884e+01,4.622985340999999693e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.998438721000000085e+00,6.496770964000000426e-01,2.121007168000000220e+00,7.107378370000000167e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.548405934999999900e+00,6.812949254000000288e-01,5.283854131999999870e-01,2.571876952000000216e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.144037915000000183e+00,6.736109778000000103e-01,1.996076263999999867e+01,5.743260330000000025e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.235228430999999905e+00,3.943773802000000162e-01,1.269208392999999990e+00,6.652156102000000182e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.624959669999999967e+00,8.354953896000000269e-01,5.586274922000000309e+00,4.830719148000000018e-01,-0.000000000000000000e+00
5.000000000000000000e+00,3.093027585000000190e+00,2.331236452000000070e-01,7.656681275000000175e-01,8.866500569999999470e+00,-0.000000000000000000e+00
5.000000000000000000e+00,4.422638057000000344e+00,7.430281874999999925e-01,6.877666460000000370e+00,1.009554865999999995e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.651178405000000016e+00,4.441596118000000204e-01,6.305205177999999577e+00,3.166869400999999806e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.252907983999999919e+00,6.677139021000000341e-01,7.369175525000000171e-01,4.279612219999999745e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.412232820000000055e+00,5.858468225999999834e-01,1.204882237999999939e+00,4.337366331000000130e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.941986679999999854e+00,4.254982801000000148e-01,1.320700356999999947e+01,4.723732323000000011e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.540800447999999934e+00,7.894769500999999634e-01,5.915350272999999603e+00,2.266805805000000174e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.058476339000000044e+00,5.126129474999999713e-01,3.942777715000000072e+00,6.436701061999999807e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.520701271000000077e+00,5.451586364999999601e-01,8.880911380000000577e+00,6.371697320000000442e-01,-0.000000000000000000e+00
5.000000000000000000e+00,1.065428806999999978e+00,8.675386937000000298e-01,5.878490913000000262e+00,1.719252314000000004e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.188691962000000046e+00,4.854879107000000249e-01,2.550127225000000220e+00,4.008262832000000220e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.908287681000000013e+00,4.081317191000000122e-01,1.573012049999999995e+01,3.701083919999999861e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.231504984999999941e+00,5.917107523000000313e-01,3.260958982000000117e-01,6.884209467999999887e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.869413404999999972e+00,2.585237477999999811e-01,3.272486940999999927e+00,7.860415820000000053e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.669633464999999983e+00,4.475689130000000127e-01,1.403518210000000099e+00,8.309048174999999148e+00,-0.000000000000000000e+00
5.000000000000000000e+00,2.271562659000000206e+00,2.591409921000000227e-01,8.013272612999999822e+00,3.566587185000000271e-01,-0.000000000000000000e+00
5.000000000000000000e+00,4.838677667999999876e+00,4.386866178000000116e-01,8.739228393999999511e+00,1.132151166999999958e+00,-0.000000000000000000e+00
5.000000000000000000e+00,1.065679688999999986e+00,1.016136037999999936e-01,8.878254872999999936e-01,1.290586148000000044e+00,-0.000000000000000000e+00
5.000000000000000000e+00,3.060478400000000043e+00,6.368554122999999789e-01,7.061936644000000207e+00,4.117402108000000061e-01,-0.000000000000000000e+00
5.000000000000000000e+00,2.307989807999999865e+00,3.646501330999999957e-01,5.592369436000000249e+00,4.115520026000000220e-01,-0.000000000000000000e+00
